#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
5016,715.51,0.2761,0.250702
5025,716.28,0.2759,0.250352
5035,717.08,0.2756,0.249973
5044,717.86,0.2751,0.249642
5054,718.64,0.2747,0.249284
5063,719.42,0.2744,0.24897
5073,720.21,0.2741,0.248631
5082,720.98,0.2738,0.248335
5092,721.77,0.2733,0.248014
5101,722.55,0.2729,0.247733
5111,723.34,0.2725,0.24743
5120,724.12,0.2719,0.247164
5130,724.91,0.2718,0.246877
5139,725.68,0.2716,0.246625
5149,726.46,0.2713,0.246353
5158,727.23,0.271,0.246115
5168,728.02,0.2707,0.245858
5177,728.8,0.2703,0.245633
5187,729.59,0.2699,0.24539
5196,730.36,0.2696,0.245177
5206,731.14,0.2694,0.244946
5215,731.92,0.2692,0.244745
5225,732.69,0.2688,0.244527
5234,733.48,0.2685,0.244336
5244,734.26,0.2681,0.244129
5253,735.05,0.2678,0.243949
5263,735.82,0.2675,0.243754
5272,736.6,0.2671,0.243583
5282,737.38,0.2669,0.243398
5291,738.15,0.2667,0.243236
5301,738.92,0.2665,0.243061
5310,739.72,0.2662,0.242908
5320,740.49,0.2658,0.242742
5329,741.27,0.2654,0.242597
5339,742.05,0.2652,0.242441
5348,742.84,0.2649,0.242304
5358,743.62,0.2647,0.242155
5367,744.41,0.2646,0.242025
5377,745.18,0.2645,0.241885
5386,745.97,0.2641,0.241762
5396,746.74,0.2638,0.241629
5405,747.51,0.2637,0.241512
5415,748.28,0.2635,0.241387
5424,749.07,0.2632,0.241276
5434,749.85,0.263,0.241157
5443,750.63,0.2626,0.241053
5453,751.41,0.2624,0.24094
5462,752.19,0.2623,0.240841
5472,752.97,0.2621,0.240734
5481,753.73,0.262,0.24064
5491,754.51,0.2618,0.240539
5500,755.29,0.2615,0.24045
5510,756.08,0.2614,0.240354
5519,756.86,0.2611,0.24027
5529,757.65,0.2611,0.240179
5538,758.42,0.2607,0.2401
5548,759.21,0.2605,0.240014
5557,759.98,0.2603,0.239938
5567,760.77,0.2601,0.239856
5576,761.54,0.2599,0.239785
5586,762.33,0.2596,0.239708
5595,763.1,0.2593,0.23964
5605,763.89,0.2591,0.239567
5614,764.67,0.2589,0.239502
5624,765.45,0.2587,0.239433
5633,766.23,0.2584,0.239372
5643,767.02,0.2582,0.239306
5652,767.79,0.2581,0.239248
5662,768.56,0.2579,0.239186
5671,769.35,0.2576,0.239131
5681,770.13,0.2573,0.239072
5690,770.92,0.257,0.23902
5700,771.7,0.2569,0.238964
5709,772.48,0.2568,0.238915
5719,773.26,0.2566,0.238861
5728,774.04,0.2566,0.238815
5738,774.83,0.2564,0.238764
5747,775.61,0.2561,0.23872
5757,776.4,0.256,0.238672
5766,777.17,0.2559,0.23863
5776,777.97,0.2556,0.238584
5785,778.76,0.2555,0.238545
5795,779.55,0.2553,0.238501
5804,780.34,0.2551,0.238464
5814,781.13,0.255,0.238423
5823,781.91,0.2546,0.238387
5833,782.69,0.2545,0.238348
5842,783.46,0.2542,0.238314
5852,784.24,0.2542,0.238277
5861,785.02,0.254,0.238244
5871,785.8,0.2539,0.238209
5880,786.57,0.2536,0.238179
5890,787.33,0.2535,0.238145
5899,788.11,0.2534,0.238116
5909,788.88,0.2533,0.238085
5918,789.65,0.2532,0.238057
5928,790.41,0.2531,0.238027
5937,791.18,0.2529,0.238
5947,791.96,0.2528,0.237972
5956,792.73,0.2526,0.237947
5966,793.51,0.2525,0.23792
5975,794.28,0.2525,0.237896
5985,795.06,0.2523,0.23787
5994,795.84,0.2521,0.237848
6004,796.63,0.2522,0.237823
6013,797.4,0.252,0.237802
6023,798.19,0.2519,0.237779
6032,798.97,0.2516,0.237758
6042,799.76,0.2516,0.237736
6051,800.53,0.2514,0.237717
6061,801.31,0.2512,0.237696
6070,802.09,0.2511,0.237677
6080,802.87,0.2509,0.237657
6089,803.64,0.2509,0.23764
6099,804.42,0.2507,0.237621
6108,805.2,0.2504,0.237604
6118,805.97,0.2503,0.237586
6127,806.75,0.2502,0.23757
6137,807.53,0.25,0.237553
6146,808.3,0.2498,0.237538
6156,809.08,0.2496,0.237521
6165,809.84,0.2495,0.237507
6175,810.61,0.2492,0.237491
6184,811.38,0.2492,0.237478
6194,812.16,0.249,0.237463
6203,812.91,0.249,0.23745
6213,813.69,0.2489,0.237436
6222,814.45,0.2488,0.237423
6232,815.21,0.2483,0.23741
6241,815.96,0.248,0.237398
6251,816.73,0.2481,0.237385
6260,817.49,0.2478,0.237374
6270,818.26,0.2476,0.237362
6279,819,0.2476,0.237351
6289,819.77,0.2476,0.23734
6298,820.54,0.2474,0.237329
6308,821.3,0.2471,0.237318
6317,822.07,0.2469,0.237309
6327,822.84,0.2468,0.237298
6336,823.61,0.2467,0.237289
6346,824.38,0.2465,0.237279
6355,825.15,0.2464,0.23727
6365,825.94,0.2463,0.23726
6374,826.71,0.2461,0.237252
6384,827.5,0.2461,0.237243
6393,828.28,0.2459,0.237235
6403,829.06,0.2457,0.237226
6412,829.83,0.2454,0.237219
6422,830.61,0.2454,0.23721
6431,831.39,0.2453,0.237203
6441,832.17,0.2451,0.237195
6450,832.93,0.2448,0.237188
6460,833.71,0.2447,0.237181
6469,834.49,0.2446,0.237174
6479,835.27,0.2445,0.237167
6488,836.04,0.2444,0.237161
6498,836.83,0.2441,0.237154
6507,837.6,0.244,0.237148
6517,838.38,0.244,0.237141
6526,839.16,0.2438,0.237135
6536,839.94,0.2436,0.237129
6545,840.72,0.2435,0.237124
6555,841.5,0.2435,0.237118
6564,842.27,0.2433,0.237112
6574,843.05,0.2432,0.237107
6583,843.81,0.2428,0.237102
6593,844.58,0.2427,0.237096
6602,845.36,0.2425,0.237092
6612,846.14,0.2423,0.237086
6621,846.9,0.2422,0.237082
6631,847.67,0.2421,0.237077
6640,848.45,0.242,0.237072
6650,849.22,0.242,0.237068
6659,849.99,0.2419,0.237064
6669,850.76,0.2418,0.237059
6678,851.54,0.2418,0.237055
6688,852.32,0.2415,0.237051
6697,853.1,0.2413,0.237047
6707,853.87,0.2412,0.237043
6716,854.63,0.2411,0.237039
6726,855.41,0.2409,0.237035
6735,856.19,0.2409,0.237032
6745,856.97,0.2408,0.237028
6754,857.74,0.2407,0.237025
6764,858.52,0.2405,0.237021
6773,859.29,0.2404,0.237018
6783,860.06,0.2402,0.237015
6792,860.83,0.24,0.237012
6802,861.61,0.2399,0.237008
6811,862.38,0.2398,0.237005
6821,863.15,0.2395,0.237002
6830,863.94,0.2395,0.236999
6840,864.7,0.2393,0.236996
6849,865.47,0.2392,0.236994
6859,866.24,0.2391,0.236991
6868,867.02,0.2391,0.236988
6878,867.79,0.2388,0.236986
6887,868.57,0.2385,0.236983
6897,869.34,0.2384,0.236981
6906,870.11,0.2384,0.236978
6916,870.88,0.2383,0.236976
6925,871.66,0.2381,0.236974
6935,872.43,0.2379,0.236971
6944,873.21,0.2377,0.236969
6954,873.99,0.2376,0.236967
6963,874.77,0.2375,0.236965
6973,875.55,0.2373,0.236962
6982,876.34,0.2372,0.236961
6992,877.13,0.2371,0.236958
7001,877.93,0.2367,0.236957
7011,878.72,0.2364,0.236955
7020,879.51,0.2363,0.236953
7030,880.28,0.2366,0.236951
7039,881.08,0.2361,0.236949
7049,881.86,0.2357,0.236947
7058,882.64,0.2356,0.236946
7068,883.42,0.2355,0.236944
7077,884.21,0.2354,0.236942
7087,884.98,0.2351,0.236941
7096,885.76,0.2348,0.236939
7106,886.54,0.2346,0.236937
7115,887.31,0.2345,0.236936
7125,888.09,0.2345,0.236934
7134,888.85,0.2342,0.236933
7144,889.63,0.234,0.236932
7153,890.41,0.2339,0.23693
7163,891.18,0.2338,0.236929
7172,891.95,0.2337,0.236927
7182,892.72,0.2333,0.236926
7191,893.49,0.2331,0.236925
7201,894.26,0.233,0.236924
7210,895.03,0.2328,0.236922
7220,895.8,0.2327,0.236921
7229,896.58,0.2325,0.23692
7239,897.34,0.2326,0.236919
7248,898.11,0.2322,0.236918
7258,898.88,0.232,0.236917
7267,899.66,0.2319,0.236916
7277,900.42,0.2318,0.236914
7286,901.19,0.2316,0.236913
7296,901.96,0.2315,0.236912
7305,902.74,0.2314,0.236911
7315,903.5,0.2313,0.23691
7324,904.28,0.2312,0.236909
7334,905.06,0.231,0.236908
7343,905.83,0.2308,0.236908
7353,906.61,0.2307,0.236907
7362,907.39,0.2296,0.236906
7372,908.17,0.2297,0.236905
7381,908.94,0.2302,0.236904
7391,909.72,0.2303,0.236903
7400,910.49,0.2301,0.236902
7410,911.25,0.23,0.236902
7419,912.03,0.23,0.236901
7429,912.8,0.2298,0.2369
7438,913.57,0.2296,0.236899
7448,914.33,0.2296,0.236899
7457,915.1,0.2295,0.236898
7467,915.87,0.2293,0.236897
7476,916.64,0.2293,0.236896
7486,917.4,0.2292,0.236896
7495,918.16,0.2293,0.236895
